x, y
1.6062178777276808, 0.0080213900470676
1.6321242191976535, 0.046524086752331884
1.6191710484626667, 0.08342252992752268
1.683937890401174, 0.11550809011579319
1.9041457459502436, 0.15240647209263458
2.176166284439256, 0.16363636919984983
2.435233652193283, 0.1764706422338376
2.746114691150831, 0.19411755346134796
3.0958552423133345, 0.21978609952932326
3.4326426227408553, 0.23582887962345858
3.8989636870453865, 0.251871659717594
4.378238910348484, 0.26310161802315857
4.857513145388001, 0.2679144398117293
5.401555210629605, 0.27272732279864936
6.178757313891687, 0.2550802279760908
5.816062603730617, 0.2566845427045141
6.55440420652416, 0.2663100638849568
6.735751561604697, 0.32085566308105534
6.826425733276753, 0.370588256893535
6.943005258155202, 0.42994655548150545
7.020726259092274, 0.49732624411654364
7.0336794298272585, 0.5470588379290233
7.05958577129723, 0.596791431741503
7.046632600562245, 0.6561497609286482
7.150259942969286, 0.6994652488233087
7.512953664866776, 0.7251336418954109
7.888602534026409, 0.7106952071288732
